latitude,longitude,nameOfPoint
4.634481,-74.0705645,punto 1
4.6345038,-74.0705444,punto 2
4.6345265,-74.0705229,punto 3
4.6345492,-74.0705028,punto 4
4.6345733,-74.0704814,punto 5
4.6345947,-74.0704626,punto 6
4.6346147,-74.0704458,punto 7
4.6346368,-74.0704311,punto 8
4.6346582,-74.0704156,punto 9
4.6346816,-74.0704203,punto 10
4.6347036,-74.0704344,punto 11
4.6347223,-74.0704485,punto 12
4.6347417,-74.0704639,punto 13
4.6347624,-74.070478,punto 14
4.6347831,-74.0704894,punto 15
4.6348032,-74.0704961,punto 16
4.6348219,-74.0704921,punto 17
4.6348413,-74.0704854,punto 18
4.6348587,-74.0704773,punto 19
4.6348754,-74.07047,punto 20
4.6348894,-74.0704612,punto 21
4.6349075,-74.0704559,punto 22
4.6349262,-74.0704492,punto 23
4.6349429,-74.0704438,punto 24
4.6349609,-74.0704398,punto 25
4.6349783,-74.0704358,punto 26
4.634993,-74.0704311,punto 27
4.6350097,-74.070427,punto 28
4.6350291,-74.0704257,punto 29
4.6350471,-74.0704237,punto 30
4.6350652,-74.070421,punto 31
4.6350839,-74.0704203,punto 32
4.6351026,-74.0704203,punto 33
4.6351213,-74.0704197,punto 34
4.63514,-74.070419,punto 35
4.6351588,-74.070419,punto 36
4.6351775,-74.070419,punto 37
4.6351962,-74.070419,punto 38
4.6352142,-74.0704197,punto 39
4.635233,-74.0704197,punto 40
4.6352517,-74.070419,punto 41
4.6352704,-74.0704183,punto 42
4.6352891,-74.070419,punto 43
4.6353078,-74.070419,punto 44
4.6353265,-74.070419,punto 45
4.6353459,-74.0704183,punto 46
4.6353646,-74.0704183,punto 47
4.6353833,-74.070419,punto 48
4.6354027,-74.0704197,punto 49
4.6354214,-74.070421,punto 50
4.6354395,-74.070423,punto 51
4.6353259,-74.0700683,punto 1
4.6353125,-74.0700784,punto 2
4.6353025,-74.0700924,punto 3
4.6352931,-74.0701065,punto 4
4.6352824,-74.0701179,punto 5
4.6352751,-74.0701293,punto 6
4.635271,-74.0701434,punto 7
4.635265,-74.0701575,punto 8
4.6352583,-74.0701702,punto 9
4.6352523,-74.0701836,punto 10
4.6352456,-74.0701964,punto 11
4.635239,-74.0702078,punto 12
4.635233,-74.0702205,punto 13
4.6352276,-74.0702326,punto 14
4.6352203,-74.0702473,punto 15
4.6352149,-74.0702601,punto 16
4.6352102,-74.0702742,punto 17
4.6352029,-74.0702869,punto 18
4.6351935,-74.0703017,punto 19
4.6351855,-74.0703157,punto 20
4.6351775,-74.0703291,punto 21
4.6351701,-74.0703432,punto 22
4.6351628,-74.0703566,punto 23
4.6351548,-74.0703694,punto 24
4.6351487,-74.0703808,punto 25
4.6351414,-74.0703895,punto 26
4.635132,-74.0703989,punto 27
4.6351207,-74.0704036,punto 28
4.635106,-74.0704076,punto 29
4.6350886,-74.0704083,punto 30
4.6350732,-74.0704096,punto 31
4.6350552,-74.0704096,punto 32
4.6350405,-74.0704049,punto 33
4.6350284,-74.0704002,punto 34
4.6350137,-74.0703955,punto 35
4.6350004,-74.0703895,punto 36
4.6349883,-74.0703848,punto 37
4.6349743,-74.0703788,punto 38
4.6349616,-74.0703734,punto 39
4.6349469,-74.0703674,punto 40
4.6349309,-74.0703613,punto 41
4.6349175,-74.0703553,punto 42
4.6349014,-74.0703493,punto 43
4.6348881,-74.0703432,punto 44
4.634874,-74.0703365,punto 45
4.6348613,-74.0703298,punto 46
4.6348473,-74.0703245,punto 47
4.6348359,-74.0703171,punto 48
4.6348199,-74.0703104,punto 49
4.6348065,-74.0703043,punto 50
4.6347945,-74.0702976,punto 51
4.6347825,-74.0702903,punto 52
4.6347691,-74.0702842,punto 53
4.6347517,-74.0702789,punto 54
4.6347357,-74.0702735,punto 55
4.6347217,-74.0702668,punto 56
4.634713,-74.0702621,punto 57
4.6347029,-74.0702581,punto 58
4.6351708,-74.0699677,punto 1
4.6351681,-74.0699805,punto 2
4.6351661,-74.0699959,punto 3
4.6351661,-74.070012,punto 4
4.6351654,-74.0700274,punto 5
4.6351661,-74.0700428,punto 6
4.6351621,-74.0700569,punto 7
4.6351554,-74.070071,punto 8
4.6351447,-74.0700844,punto 9
4.635134,-74.0700991,punto 11
4.6351287,-74.0701146,punto 12
4.6351247,-74.07013,punto 13
4.635122,-74.0701481,punto 14
4.63512,-74.0701662,punto 15
4.635118,-74.0701856,punto 16
4.6351167,-74.0702064,punto 17
4.6351187,-74.0702259,punto 18
4.6351213,-74.0702453,punto 19
4.6351294,-74.0702654,punto 20
4.6351387,-74.0702849,punto 21
4.6351487,-74.0703037,punto 22
4.6351614,-74.0703211,punto 23
4.6351788,-74.0703352,punto 24
4.6351962,-74.0703459,punto 25
4.6352049,-74.0703627,punto 26
4.6352169,-74.0703794,punto 27
4.6352289,-74.0703969,punto 28
4.6352443,-74.0704116,punto 29
4.635265,-74.0704284,punto 30
4.6352837,-74.0704378,punto 31
4.6353025,-74.0704472,punto 32
4.6353212,-74.0704559,punto 34
4.6353426,-74.0704646,punto 35
4.6353646,-74.0704686,punto 36
4.635388,-74.0704726,punto 37
4.6354127,-74.0704767,puto 38
4.6351481,-74.0699704,punto 1
4.6351467,-74.0699852,punto 2
4.6351467,-74.0700039,punto 3
4.6351414,-74.0700254,punto 4
4.63514,-74.0700495,punto 5
4.6351374,-74.0700696,punto 6
4.6351334,-74.0700857,punto 7
4.635128,-74.0701018,punto 8
4.635124,-74.0701193,punto 9
4.6351213,-74.0701367,punto 10
4.635116,-74.0701514,punto 11
4.6351147,-74.0701702,punto 12
4.635112,-74.070189,punto 13
4.635108,-74.0702078,punto 14
4.6351066,-74.0702279,punto 15
4.6351053,-74.0702493,punto 16
4.6351053,-74.0702721,punto 17
4.6351053,-74.0702929,punto 18
4.6351046,-74.0703144,punto 19
4.635104,-74.0703325,punto 20
4.6351006,-74.0703493,punto 21
4.6350986,-74.070366,punto 22
4.6350953,-74.0703828,punto 23
4.6350926,-74.0703989,punto 24
4.6350939,-74.070415,punto 25
4.6350933,-74.0704304,punto 26
4.6350913,-74.0704458,punto 27
4.6350879,-74.0704592,punto 28
4.6350866,-74.0704733,punto 29
4.6350819,-74.0704874,punto 30
4.6350759,-74.0705008,punto 31
4.6350685,-74.0705142,punto 32
4.6350612,-74.0705249,punto 33
4.6350525,-74.0705363,punto 34
4.6350445,-74.0705464,punto 35
4.6350371,-74.0705565,punto 36
4.6350271,-74.0705652,punto 37
4.6350151,-74.0705746,punto 38
4.6350037,-74.0705833,punto 39
4.634993,-74.070592,punto 40
4.6349803,-74.0706,punto 41
4.6349676,-74.0706054,punto 42
4.6349522,-74.0706101,punto 43
4.6349422,-74.0706182,punto 44
4.6349335,-74.0706275,punto 45
4.6349242,-74.0706376,punto 46
4.6349175,-74.0706483,punto 47
4.6349088,-74.0706597,punto 47
4.6348988,-74.0706711,punto 48
4.6348921,-74.0706832,punto 49
4.6348861,-74.0706959,punto 50
4.6348847,-74.0707087,punto 51
4.6348814,-74.0707228,punto 52
4.6348787,-74.0707362,punto 53
4.6348767,-74.0707496,punto 54
4.6348734,-74.0707623,punto 55
4.6348714,-74.0707771,punto 56
4.6348694,-74.0707925,punto 57
4.634868,-74.0708079,
4.634868,-74.0708079,punto 58
4.6348654,-74.070824,punto 59
4.6348633,-74.0708401,punto 60
4.63486,-74.0708542,punto 61
4.634858,-74.0708703,punto 62
4.6348587,-74.070887,punto 63
4.6348573,-74.0709011,punto 64
4.634854,-74.0709165,punto 65
4.6348506,-74.0709293,punto 66
4.6348453,-74.0709393,punto 67
4.6348386,-74.0709534,punto 68
4.6348059,-74.0709233,punto 1
4.6348152,-74.0709145,punto 2
4.6348212,-74.0709038,punto 3
4.6348286,-74.0708924,punto 4
4.6348339,-74.0708783,punto 5
4.63484,-74.0708636,punto 6
4.634846,-74.0708495,punto 7
4.634854,-74.0708354,punto 8
4.634856,-74.0708173,punto 9
4.634858,-74.0707999,punto 10
4.6348593,-74.0707844,punto 11
4.6348613,-74.070769,punto 12
4.6348587,-74.0707543,punto 13
4.6348607,-74.0707395,punto 14
4.6348613,-74.0707201,punto 15
4.6348607,-74.0707026,punto 16
4.63486,-74.0706865,punto 17
4.6348607,-74.0706718,punto 18
4.6348587,-74.0706584,punto 19
4.6348567,-74.0706463,punto 20
4.6348547,-74.0706329,punto 21
4.6348493,-74.0706188,punto 22
4.634844,-74.0706054,punto 23
4.6348366,-74.0705907,punto 24
4.6348299,-74.0705779,punto 25
4.6348199,-74.0705658,punto 26
4.6348085,-74.0705551,punto 27
4.6347972,-74.0705457,punto 28
4.6347831,-74.070535,punto 29
4.6347684,-74.0705263,punto 30
4.6347524,-74.0705189,punto 31
4.6347344,-74.0705129,punto 32
4.6347176,-74.0705082,punto 33
4.6347023,-74.0705028,punto 34
4.6346829,-74.0705015,punto 35
4.6346622,-74.0705042,punto 36
4.6346408,-74.0705068,punto 37
4.6346247,-74.0705095,punto 38
4.634608,-74.0705129,punto 39
4.634592,-74.0705162,punto 40
4.6345826,-74.0705263,punto 41
4.6345706,-74.0705363,punto 42
4.6345546,-74.070541,punto 43
4.6345332,-74.0705437,punto 44
4.6345191,-74.070535,punto 45
4.6345058,-74.0705303,punto 46
4.6344897,-74.0705283,punto 47
4.634479,-74.0705236,punto 48
4.6348353,-74.0709387,punto 1
4.6348466,-74.0709286,punto 2
4.634864,-74.0709239,punto 3
4.6348781,-74.0709165,punto 4
4.6348901,-74.0709065,punto 5
4.6348981,-74.0708951,punto 6
4.6349048,-74.0708837,punto 7
4.6349161,-74.0708736,punto 8
4.6349255,-74.0708629,punto 9
4.6349349,-74.0708508,punto 10
4.6349456,-74.0708394,punto 11
4.6349556,-74.0708294,punto 12
4.6349649,-74.0708193,punto 13
4.634973,-74.0708086,punto 14
4.634983,-74.0707979,punto 15
4.6349897,-74.0707858,punto 16
4.6349977,-74.0707757,punto 17
4.635007,-74.0707643,punto 18
4.6350137,-74.0707529,punto 19
4.6350244,-74.0707409,punto 20
4.6350318,-74.0707261,punto 21
4.6350405,-74.0707127,punto 22
4.6350465,-74.0707,punto 23
4.6350545,-74.0706872,punto 24
4.6350612,-74.0706765,punto 25
4.6350692,-74.0706651,punto 26
4.6350752,-74.070653,punto 27
4.6350812,-74.0706403,punto 28
4.6350866,-74.0706289,punto 29
4.6350899,-74.0706155,punto 30
4.6350973,-74.0706021,punto 31
4.6350986,-74.0705873,punto 32
4.635104,-74.0705732,punto 33
4.63511,-74.0705605,punto 34
4.6351153,-74.0705477,punto 35
4.6351213,-74.0705343,punto 36
4.6351294,-74.0705236,punto 37
4.6351367,-74.0705129,punto 38
4.6351454,-74.0705015,punto 39
4.6351588,-74.0704907,punto 40
4.6351695,-74.0704807,punto 41
4.6351828,-74.0704713,punto 42
4.6351969,-74.0704666,punto 43
4.6352122,-74.0704606,punto 44
4.6352289,-74.0704565,punto 45
4.635245,-74.0704539,punto 46
4.6352637,-74.0704519,punto 48
4.6352844,-74.0704505,punto 49
4.6353045,-74.0704525,punto 50
4.6353225,-74.0704472,punto 51
4.6353406,-74.0704465,punto 52
4.6353586,-74.0704472,punto 53
4.635376,-74.0704472,punto 54
4.6353954,-74.0704485,punto 55
4.6354167,-74.0704505,punto 56
4.6352991,-74.0705712,punto 1
4.6352924,-74.0705591,punto 2
4.6352858,-74.0705498,punto 3
4.6352737,-74.0705417,punto 4
4.635267,-74.070531,punto 5
4.6352537,-74.0705203,punto 6
4.6352416,-74.0705122,punto 7
4.6352309,-74.0705055,punto 8
4.6352189,-74.0704975,punto 9
4.6352069,-74.0704894,punto 10
4.6351935,-74.0704814,punto 11
4.6351801,-74.0704653,punto 12
4.6351668,-74.0704572,punto 13
4.6351588,-74.0704492,punto 14
4.6351521,-74.0704425,punto 15
4.6351441,-74.0704371,punto 16
4.635136,-74.0704304,punto 17
4.6351227,-74.0704224,punto 18
4.6351147,-74.070421,punto 19
4.635104,-74.070413,punto 20
4.6350919,-74.0704049,punto 21
4.6350866,-74.0704002,punto 22
4.6350779,-74.0703935,punto 23
4.6350712,-74.0703861,punto 24
4.6350645,-74.0703781,punto 25
4.6350532,-74.0703734,punto 26
4.6350478,-74.070368,punto 27
4.6350391,-74.070362,punto 28
4.6350338,-74.0703566,punto 29
4.6350271,-74.0703519,punto 30
4.6350184,-74.0703459,punto 31
4.6350084,-74.0703379,punto 32
4.634999,-74.0703298,punto 33
4.6349917,-74.0703211,punto 34
4.634983,-74.0703131,punto 35
4.634973,-74.0703063,punto 36
4.6349623,-74.0702983,punto 37
4.6349522,-74.0702909,punto 38
4.6349449,-74.0702856,punto 39
4.6349355,-74.0702795,punto 40
4.6349262,-74.0702721,punto 41
4.6349188,-74.0702648,punto 42
4.6349101,-74.0702574,punto 43
4.6349008,-74.0702493,punto 44
4.6348867,-74.0702433,punto 45
4.6348774,-74.0702393,punto 46
4.6348674,-74.0702346,punto 47
4.6348573,-74.0702299,punto 48
4.6348473,-74.0702272,punto 49
4.6348393,-74.0702252,punto 50
4.6348293,-74.0702232,punto 51
4.6348219,-74.0702212,punto 52
4.6348112,-74.0702192,punto 53
4.6348019,-74.0702178,punto 54